,layer_idx,sample_idx,pre_activations,post_activations,std
10,10,0,"[1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0.
 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0.
 0. 0. 0.]","[1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0.
 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0.
 0. 0. 0.]",0.0
11,11,0,"[ 1.  1.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5.  6.  5.  4.  3.  2.
  1.  0. -1. -2. -3. -4.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5.  7.
  6.  5.  4.  3.  2.  1.  0. -1. -2. -3.  5.  4.  3.  2.  1.  0. -1. -2.
 -3. -4. -5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6.  6.  5.  4.  3.
  2.  1.  0. -1. -2. -3. -4.  0.  0.  1.  0.  1.  0.  1.  1.  0.  0.  1.
  0.  0.  0.  0.  1.  1.  0.  1.  0.  0.  1.  1.  1.  1.  1.]","[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.
 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1.
 0. 1. 0. 0. 1. 1. 1. 1. 1.]",0.0
12,12,0,"[ 1.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4.  4.  3.  2.  1.  0. -1.
 -2. -3. -4. -5. -6.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3.  1.  0.
  1.  1.  1.  0.  0.]","[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1.
 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0.]",0.0
13,13,0,[ 1.  0.  0.  1.  1.  0. -1. -1.  1.  1.  0.  1.  1.  1.  0.  0.],[1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0.],0.0
14,14,0,"[ 1.  1. -1.  0.  1. -1.  2.  1.  0. -1.  0. -1.  1.  0.  1.  0.  1.  0.
  1.  0.  1.]",[1. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],0.0
15,15,0,[ 1.  2.  1.  0. -1.  1.  0.  2.  1.  0. -1.  0.  0.  0.  1.  1.],[1. 1. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1.],0.0
16,16,0,[1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 2. 1. 1. 0.],[1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0.],0.0
17,17,0,"[ 1.  1.  1.  0.  2.  1.  0. -1.  0. -1.  1.  0.  1.  0.  1.  0.  1.  1.
  1.  0.]",[1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0.],0.0
18,18,0,[1. 2. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0.],[1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0.],0.0
19,19,0,[1. 0. 1. 1. 1. 0. 1. 0. 0. 0. 1.],[1. 0. 1. 1. 1. 0. 1. 0. 0. 0. 1.],0.0
