KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
4.3031, inf, 0.0919, 0.2282, 0.4971, 0.0000, 0.2694, 0.0000, 0.0041, -0.2911, 0.0270, 0.4639, 78.2073, 11.7416
4.3204, inf, 0.0904, 0.3065, 0.4974, 0.0000, 0.3007, 0.0000, 0.0054, -0.3695, 0.0383, 0.7014, 101.8379, 23.8793
4.3122, inf, 0.0909, 0.2845, 0.4963, 0.0000, 0.2904, 0.0000, 0.0050, -0.3474, 0.0329, 0.5837, 72.4224, 10.7194
4.3171, inf, 0.0913, 0.2745, 0.4988, 0.0000, 0.2741, 0.0000, 0.0046, -0.3374, 0.0316, 0.6203, 128.7636, 31.0504
4.3016, inf, 0.0917, 0.2332, 0.4969, 0.0000, 0.2689, 0.0000, 0.0043, -0.2961, 0.0295, 0.5156, 124.2376, 25.2115
4.3199, inf, 0.0904, 0.3063, 0.4987, 0.0000, 0.3068, 0.0000, 0.0055, -0.3693, 0.0351, 0.6208, 68.5624, 11.4475
4.3145, inf, 0.0912, 0.2809, 0.4967, 0.0000, 0.2983, 0.0000, 0.0047, -0.3438, 0.0333, 0.6224, 162.3984, 29.9877
4.3136, inf, 0.0915, 0.2464, 0.4977, 0.0000, 0.2911, 0.0000, 0.0044, -0.3094, 0.0288, 0.4866, 78.3163, 10.3615
4.3227, inf, 0.0905, 0.2981, 0.4977, 0.0000, 0.2881, 0.0000, 0.0054, -0.3610, 0.0369, 0.6670, 86.1425, 15.6257
4.3159, inf, 0.0913, 0.2572, 0.4983, 0.0000, 0.2631, 0.0000, 0.0047, -0.3201, 0.0313, 0.5570, 79.6063, 14.0063
4.3150, inf, 0.0923, 0.2122, 0.4984, 0.0000, 0.2384, 0.0000, 0.0037, -0.2752, 0.0271, 0.4888, 96.2001, 13.2480
4.3137, inf, 0.0918, 0.2263, 0.4981, 0.0000, 0.2773, 0.0000, 0.0042, -0.2893, 0.0279, 0.4723, 100.7992, 17.6722
inf, inf, 0.0909, 0.2695, 0.4994, 0.0000, 0.2783, 0.0000, 0.0050, -0.3324, 0.0329, 0.5490, 93.8208, 10.0851
4.3202, inf, 0.0914, 0.2543, 0.4983, 0.0000, 0.2967, 0.0000, 0.0046, -0.3173, 0.0299, 0.5132, 78.7582, 11.9419
4.3155, inf, 0.0907, 0.2996, 0.4982, 0.0000, 0.2930, 0.0000, 0.0052, -0.3626, 0.0346, 0.6213, 68.6686, 10.3675
4.3127, inf, 0.0919, 0.2261, 0.4984, 0.0000, 0.2741, 0.0000, 0.0040, -0.2891, 0.0263, 0.4540, 78.5106, 9.7732
inf, inf, 0.0907, 0.3048, 0.4984, 0.0000, 0.2842, 0.0000, 0.0052, -0.3677, 0.0367, 0.6658, 111.3574, 15.2237
4.3169, inf, 0.0921, 0.2042, 0.4990, 0.0000, 0.2437, 0.0000, 0.0039, -0.2671, 0.0273, 0.4653, 86.4245, 15.2190
4.3115, inf, 0.0915, 0.2483, 0.4979, 0.0000, 0.2795, 0.0000, 0.0044, -0.3111, 0.0326, 0.5826, 169.2501, 36.2994
4.3165, inf, 0.0911, 0.2636, 0.4971, 0.0000, 0.2995, 0.0000, 0.0048, -0.3265, 0.0308, 0.5311, 81.7674, 14.9614
4.3092, inf, 0.0915, 0.2528, 0.4985, 0.0000, 0.2905, 0.0000, 0.0045, -0.3157, 0.0317, 0.5602, 179.3975, 39.9668
4.3199, inf, 0.0907, 0.2972, 0.4978, 0.0000, 0.3053, 0.0000, 0.0052, -0.3601, 0.0354, 0.6498, 108.1498, 20.2736
4.3117, inf, 0.0915, 0.2497, 0.4972, 0.0000, 0.2834, 0.0000, 0.0045, -0.3127, 0.0297, 0.5290, 88.8850, 18.1626
4.3135, inf, 0.0916, 0.2468, 0.4974, 0.0000, 0.2892, 0.0000, 0.0043, -0.3097, 0.0292, 0.5156, 95.0986, 13.9312
4.3182, inf, 0.0908, 0.2953, 0.4981, 0.0000, 0.2917, 0.0000, 0.0051, -0.3583, 0.0346, 0.6216, 82.7380, 14.0603
4.3087, inf, 0.0912, 0.2566, 0.4978, 0.0000, 0.2772, 0.0000, 0.0047, -0.3195, 0.0335, 0.5838, 111.6116, 21.7536
4.3165, inf, 0.0918, 0.2247, 0.4970, 0.0000, 0.2486, 0.0000, 0.0042, -0.2877, 0.0292, 0.5051, 89.1746, 15.3489
4.3196, inf, 0.0912, 0.2601, 0.4978, 0.0000, 0.2845, 0.0000, 0.0048, -0.3230, 0.0313, 0.5363, 69.2133, 11.5036
4.3184, inf, 0.0911, 0.2761, 0.4981, 0.0000, 0.2781, 0.0000, 0.0048, -0.3391, 0.0345, 0.6337, 118.9704, 22.9283
4.3286, inf, 0.0906, 0.2955, 0.4978, 0.0000, 0.2907, 0.0000, 0.0053, -0.3584, 0.0350, 0.6033, 69.7545, 11.4992
4.3072, inf, 0.0917, 0.2403, 0.4980, 0.0000, 0.2831, 0.0000, 0.0042, -0.3032, 0.0277, 0.4898, 76.8817, 11.5093
4.3168, inf, 0.0905, 0.2934, 0.4976, 0.0000, 0.2957, 0.0000, 0.0054, -0.3563, 0.0360, 0.6259, 83.1901, 16.1846
