KL Weights, KL Biases, EMD Weights, EMD Biases, KS Weights Statistic, KS Weights P-value, KS Biases Statistic, KS Biases P-value, Mean Weights, Mean Biases, Std Weights, Std Biases, Kurtosis Weights, Kurtosis Biases
3.8254, inf, 0.0918, 0.2177, 0.4967, 0.0000, 0.2777, 0.0000, 0.0040, -0.2845, 0.0251, 0.4402, 58.7588, 9.1062
3.8323, inf, 0.0912, 0.2676, 0.4973, 0.0000, 0.3162, 0.0000, 0.0046, -0.3344, 0.0285, 0.4993, 51.3090, 6.5136
3.8231, inf, 0.0908, 0.2794, 0.4965, 0.0000, 0.3378, 0.0000, 0.0050, -0.3462, 0.0298, 0.5006, 52.7446, 8.1355
3.8355, inf, 0.0920, 0.2144, 0.4990, 0.0000, 0.2783, 0.0000, 0.0039, -0.2812, 0.0252, 0.4414, 87.8603, 17.0024
3.8344, inf, 0.0915, 0.2324, 0.4965, 0.0000, 0.2915, 0.0000, 0.0044, -0.2992, 0.0289, 0.4915, 79.4697, 15.1904
3.8326, inf, 0.0906, 0.2924, 0.4972, 0.0000, 0.3298, 0.0000, 0.0052, -0.3592, 0.0316, 0.5583, 105.9538, 19.4166
3.8307, inf, 0.0913, 0.2515, 0.4962, 0.0000, 0.3056, 0.0000, 0.0046, -0.3183, 0.0290, 0.4959, 65.1017, 11.3556
3.8154, inf, 0.0911, 0.2820, 0.4972, 0.0000, 0.3110, 0.0000, 0.0048, -0.3488, 0.0319, 0.6351, 256.9770, 54.4432
3.8320, inf, 0.0918, 0.2339, 0.4973, 0.0000, 0.2878, 0.0000, 0.0041, -0.3007, 0.0267, 0.4745, 64.4105, 9.1928
3.8320, inf, 0.0914, 0.2536, 0.4986, 0.0000, 0.2751, 0.0000, 0.0044, -0.3204, 0.0307, 0.5838, 109.8572, 22.0122
3.8293, inf, 0.0917, 0.2287, 0.4965, 0.0000, 0.2914, 0.0000, 0.0042, -0.2954, 0.0263, 0.4568, 64.7821, 11.6523
3.8366, inf, 0.0910, 0.2666, 0.4963, 0.0000, 0.3175, 0.0000, 0.0049, -0.3334, 0.0312, 0.5356, 69.7047, 11.9794
3.8356, inf, 0.0902, 0.3153, 0.4966, 0.0000, 0.3267, 0.0000, 0.0055, -0.3821, 0.0348, 0.6081, 70.9835, 12.4681
3.8245, inf, 0.0906, 0.2891, 0.4964, 0.0000, 0.3250, 0.0000, 0.0052, -0.3558, 0.0308, 0.5235, 41.6121, 5.3538
3.8368, inf, 0.0916, 0.2238, 0.4968, 0.0000, 0.2778, 0.0000, 0.0043, -0.2906, 0.0284, 0.4860, 108.0838, 23.7761
3.8277, inf, 0.0914, 0.2487, 0.4970, 0.0000, 0.3146, 0.0000, 0.0046, -0.3155, 0.0275, 0.4573, 50.1503, 6.9590
3.8156, inf, 0.0907, 0.2753, 0.4971, 0.0000, 0.3240, 0.0000, 0.0052, -0.3421, 0.0319, 0.5356, 81.3368, 18.3618
3.8316, inf, 0.0916, 0.2367, 0.4969, 0.0000, 0.2719, 0.0000, 0.0043, -0.3035, 0.0282, 0.5216, 76.9168, 14.6245
3.8353, inf, 0.0915, 0.2401, 0.4965, 0.0000, 0.3032, 0.0000, 0.0044, -0.3068, 0.0293, 0.4882, 781.9773, 16.3833
3.8228, inf, 0.0913, 0.2539, 0.4975, 0.0000, 0.3169, 0.0000, 0.0046, -0.3207, 0.0272, 0.4597, 45.0614, 5.5804
3.8253, inf, 0.0904, 0.2941, 0.4973, 0.0000, 0.3268, 0.0000, 0.0054, -0.3609, 0.0336, 0.5674, 69.0490, 13.2621
3.8208, inf, 0.0915, 0.2427, 0.4961, 0.0000, 0.3093, 0.0000, 0.0044, -0.3095, 0.0274, 0.4580, 60.7811, 9.2847
3.8254, inf, 0.0909, 0.2758, 0.4971, 0.0000, 0.3175, 0.0000, 0.0050, -0.3426, 0.0300, 0.5138, 54.7156, 7.0706
3.8249, inf, 0.0913, 0.2510, 0.4969, 0.0000, 0.3097, 0.0000, 0.0046, -0.3178, 0.0285, 0.4895, 63.9201, 11.8030
3.8317, inf, 0.0913, 0.2437, 0.4970, 0.0000, 0.3061, 0.0000, 0.0045, -0.3105, 0.0274, 0.4691, 59.3506, 9.5497
3.8268, inf, 0.0910, 0.2703, 0.4977, 0.0000, 0.3239, 0.0000, 0.0048, -0.3371, 0.0295, 0.5161, 74.9738, 17.4774
3.8240, inf, 0.0918, 0.2425, 0.4973, 0.0000, 0.2909, 0.0000, 0.0041, -0.3093, 0.0266, 0.4908, 65.9175, 10.5626
